"id","name","l10n_ec_type","sequence","country_id","name@es_EC"
"tax_group_vat_12","VAT 12%","vat12","10","base.ec","Iva 12%"
"tax_group_vat14","VAT 14%","vat14","20","base.ec","IVA 14%"
"tax_group_vat0","VAT 0%","zero_vat","30","base.ec","Iva 0%"
"tax_group_vat_not_charged","VAT Not Charged","not_charged_vat","40","base.ec","IVA no repercutido"
"tax_group_vat_excempt","VAT Exempt","exempt_vat","50","base.ec","IVA Exento"
"tax_group_ice","Special Consumptions (ICE)","ice","60","base.ec","Consumos especial (ICE)"
"tax_group_irbpnr","Plastic Bottles (IRBPNR)","irbpnr","70","base.ec","Botellas de plástico (IRBPNR)"
"tax_group_withhold_vat","VAT Withhold","withhold_vat","80","base.ec","Retención del IVA"
"tax_group_withhold_income","Profit Withhold","withhold_income_tax","90","base.ec","Retención de beneficios"
"tax_group_outflows","Exchange Outflows","outflows_tax","100","base.ec","Salidas de divisas"
"tax_group_others","Others","other","110","base.ec","Otros"
