id,name,applicability
account.account_tag_operating,CF: Үндсэн: Бусад,accounts
account.account_tag_financing,CF: Хөрөнгө оруулалт: Бусад Урт хугацаат хөрөнгө,accounts
account.account_tag_investing,CF: Санхүү: Ногдол ашиг,accounts
l10n_mn.account_tag_operating_product,CF: Үндсэн: Бараа үйлчилгээ,accounts
l10n_mn.account_tag_operating_loyalty,CF: Үндсэн: Эрхийн шимтгэл хураамж,accounts
l10n_mn.account_tag_operating_insurance,CF: Үндсэн: Нийгмийн Даатгал,accounts
l10n_mn.account_tag_operating_insurance2,CF: Үндсэн: Бусад Даатгал,accounts
l10n_mn.account_tag_operating_taxrefund,CF: Үндсэн: Татвар,accounts
l10n_mn.account_tag_operating_funding,CF: Үндсэн: Татаас санхүүжилт,accounts
l10n_mn.account_tag_operating_employee,CF: Үндсэн: Ажилчид,accounts
l10n_mn.account_tag_operating_cost,CF: Үндсэн: Ашиглалтын зардал,accounts
l10n_mn.account_tag_operating_transport,CF: Үндсэн: Түлш тээвэр сэлбэг,accounts
l10n_mn.account_tag_operating_interest,CF: Үндсэн: Зээлийн хүү,accounts
l10n_mn.account_tag_investing_fasset,CF: Хөрөнгө оруулалт: Үндсэн хөрөнгө,accounts
l10n_mn.account_tag_investing_iasset,CF: Хөрөнгө оруулалт: Биет бус хөрөнгө,accounts
l10n_mn.account_tag_investing_invest,CF: Хөрөнгө оруулалт: Хөрөнгө оруулалт,accounts
l10n_mn.account_tag_investing_loan,CF: Хөрөнгө оруулалт: Зээл урьдчилгаа,accounts
l10n_mn.account_tag_investing_interest,CF: Хөрөнгө оруулалт: Зээлийн хүү,accounts
l10n_mn.account_tag_investing_dividends,CF: Хөрөнгө оруулалт: Ногдол ашиг,accounts
l10n_mn.account_tag_financing_loan,"CF: Санхүү: Зээл, өрийн үнэт цаас",accounts
l10n_mn.account_tag_financing_rental,CF: Санхүү: Санхүүгийн түрээс,accounts
l10n_mn.account_tag_financing_stock,CF: Санхүү: Хувьцаа өмчийн бусад үнэт цаас,accounts
l10n_mn.account_tag_financing_donation,CF: Санхүү: Хандив,accounts
l10n_mn.account_tag_exchange,CF: Валютын ханшийн зөрүү,accounts
l10n_mn.vat_report_tag2,ТТ3а: НӨАТ-аас чөлөөлөгдөх борлуулалтын орлого (2),taxes
l10n_mn.vat_report_tag5,ТТ3a: Дотоодын зах зээлд борлуулсан барааны борлуулалтын орлого (5),taxes
l10n_mn.vat_report_tag6,ТТ3a: Бусад барааны борлуулалтын орлого (6),taxes
l10n_mn.vat_report_tag7,ТТ3a: Эрх борлуулсны орлого (7),taxes
l10n_mn.vat_report_tag8,ТТ3a: Татан буугдах үед үлдсэн барааны орлого (8),taxes
l10n_mn.vat_report_tag9,ТТ3a: Өрийн төлбөрт шилжүүлсэн барааны орлого (9),taxes
l10n_mn.vat_report_tag11,ТТ3a: Наториатын үйлчилгээний орлого (11),taxes
l10n_mn.vat_report_tag12,ТТ3a: Өрийн төлбөрт тооцсон ажил үйлчилгээний орлого (12),taxes
l10n_mn.vat_report_tag13,"ТТ3a: Цахилгаан,  дулаан, ус, шуудан, холбооны үйлчилгээ үзүүлсний орлого (13)",taxes
l10n_mn.vat_report_tag14,"ТТ3a: Бараа түрээслүүлэх, эзэмшүүлэх, ашиглуулах үйлчилгээний орлого (14)",taxes
l10n_mn.vat_report_tag15,"ТТ3a: Байр түрээслүүлэх, эзэмшүүлэх, ашиглуулах үйлчилгээний орлого (15)",taxes
l10n_mn.vat_report_tag16,"ТТ3a: Үл хөдлөх, хөдлөх хөрөнгө түрээслүүлэх, эзэмшүүлэх ашиглуулах үйлчилгээий орлого (16)",taxes
l10n_mn.vat_report_tag17,"ТТ3a: Шинэ бүтээл, загвар, зохиогчийн эрх, барааны тэмдэг худалдсаны орлого (17)",taxes
l10n_mn.vat_report_tag18,"ТТ3a: Хонжворт сугалаа, төлбөрт таавар, бооцоот тоглоомын орлого (18)",taxes
l10n_mn.vat_report_tag19,ТТ3a: Зуучлалын үйлчилгээний орлого (19),taxes
l10n_mn.vat_report_tag20,"ТТ3a: Бусдаас авсан хүү, торгууль, алдангийн орлого (20)",taxes
l10n_mn.vat_report_tag21,ТТ3a: Хөрөнгийн үнэлгээний үйлчилгээний орлого (21),taxes
l10n_mn.vat_report_tag22,"ТТ3a: Төсвийн санхүүжилт, татаас, урамшууллын орлого (22)",taxes
l10n_mn.vat_report_tag23,"ТТ3a: Өмгөөлөл, хууль зүйн үйлчилгээний орлого (23)",taxes
l10n_mn.vat_report_tag24,"ТТ3a: Үсчин, гоо сайхан, засвар үйлчилгээ, угаалга, хими цэвэрлэгээний үйлчилгээний орлого (24)",taxes
l10n_mn.vat_report_tag25,ТТ3a: Хуулийн 13-т зааснаас бусад үйлчилгээний орлого (25),taxes
l10n_mn.vat_report_tag28,ТТ3a: Экспортонд гаргасан барааны борлуулалтын орлого (28),taxes
l10n_mn.vat_report_tag29,ТТ3a: Экспортолсон үйлчилгээний борлуулалтын орлого (29),taxes
l10n_mn.vat_report_tag33,"ТТ3а: Худалдан авсан нийт бараа, ажил үйлчилгээ (33)",taxes
l10n_mn.vat_report_tag35,"ТТ3a: НӨАТ-тэй авсан Импортын бараа, ажил үйлчилгээний худалдан авалт (35)",taxes
l10n_mn.vat_report_tag36,"ТТ3a: Дотоодын зах зээлээс НӨАТ-тэй авсан бараа, ажил, үйлчилгээ (36)",taxes
l10n_mn.vat_report_tag37,"ТТ3a: Суутган төлөгчөөр бүртгүүлэх үед НӨАТ-тэй авсан бараа, үйлчилгээ (37)",taxes
l10n_mn.vat_report_tag38,"ТТ3a: Мал аж ахуй, тариалан эрхлэгчээс НӨАТ-тэй авсан бараа, үйлчилгээ (38)",taxes
l10n_mn.vat_report_tag41,"ТТ3а: Суудлын автомашин, түүний эд анги сэлбэгт төлсөн  НӨАТ (41)",taxes
